id,clean_title,author,publisher,year,language,category,tags,description,table_of_contents,cover_image_url,preview_page_count,preview_base_url,access_required,access_url,copyright_status,can_public_download
cdl-001109,―彼犹,冯国泰 李汤马,,,中文,other,,,,,5,,true,,待核实,false
cdl-000028,一个不信派的标本,,,,中文,other,,,,,5,,true,,待核实,false
cdl-000957,一个广告人的自白,,,,中文,other,,,,,5,,true,,待核实,false
cdl-000029,一个重大的呼召,劳威廉,,,中文,other,,,,,5,,true,,待核实,false
cdl-000030,一个重大的呼召：劳威廉:2,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002657,一封可以改變你一生的書信,,,,中文,other,,,,,5,,true,,待核实,false
cdl-001683,一掷千金的上帝,提姆 凯乐 Timothy Keller,,,中文,theology,上帝,,,,5,,true,,待核实,false
cdl-002658,一步一步学〈诗篇〉,,,,中文,bible-study,诗篇,,,,5,,true,,待核实,false
cdl-002659,一步一步学旧约,,,,中文,bible-study,旧约,,,,5,,true,,待核实,false
cdl-000031,一步一步學舊約,,,,中文,bible-study,舊約,,,,5,,true,,待核实,false
cdl-002660,一生必读的关于信仰与人生的30部经典,,,,中文,theology,信仰,,,,5,,true,,待核实,false
cdl-002367,一生渴慕神：基督徒灵修七径,博斯特,,,中文,spiritual-life,灵修,,,,5,,true,,待核实,false
cdl-002661,一生用心,傅莱顿,,,中文,other,,,,,5,,true,,待核实,false
cdl-002662,一生用心,傅莱顿,,,中文,other,,,,,5,,true,,待核实,false
cdl-002663,一生的呼召,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002664,一生的呼召,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002665,一貫道揭密,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002607,一起生活与基督教伦理,,,,中文,theology,基督,,,,5,,true,,待核实,false
cdl-001990,一路上奔走：海外宣教师保罗的省思,博许,,,中文,missions,宣教,,,,5,,true,,待核实,false
cdl-000473,一路走来一路读,林达,,,中文,other,,,,,5,,true,,待核实,false
cdl-002666,一针见血的福音,,,,中文,other,,,,,5,,true,,待核实,false
cdl-000867,丁道尔,马可,,,中文,other,,,,,5,,true,,待核实,false
cdl-000918,丁道尔,罗马,,,中文,other,,,,,5,,true,,待核实,false
cdl-000928,丁道尔,林前,,,中文,other,,,,,5,,true,,待核实,false
cdl-000938,丁道尔,林后,,,中文,other,,,,,5,,true,,待核实,false
cdl-000944,丁道尔,加太,,,中文,other,,,,,5,,true,,待核实,false
cdl-000958,丁道尔,以所,,,中文,other,,,,,5,,true,,待核实,false
cdl-000979,丁道尔,腓利比,,,中文,other,,,,,5,,true,,待核实,false
cdl-000987,丁道尔,歌 门,,,中文,other,,,,,5,,true,,待核实,false
cdl-001008,丁道尔,帖前后,,,中文,other,,,,,5,,true,,待核实,false
cdl-001013,丁道尔,教牧,,,中文,other,,,,,5,,true,,待核实,false
cdl-001024,丁道尔,彼前,,,中文,other,,,,,5,,true,,待核实,false
cdl-002677,丁道尔,路加,,,中文,other,,,,,5,,true,,待核实,false
cdl-002674,丁道尔 彼前,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002675,丁道尔 约翰,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002676,丁道尔 行传,,,,中文,other,,,,,5,,true,,待核实,false
